,index,value
124,124,"[-0.31327638565562665, 0.24857095116749406, 0.15236916160210967, -0.4491550996899605, 0.1067275800742209, 0.4301025038585067, 0.009195252787321806, -0.12577744340524077, 0.34723153861705214, 0.030442444141954184, 0.03217764984583482, -0.023722157115116715, 0.2614174447953701, -0.08688198123127222, -0.2135690012946725, -0.10024562943726778, 0.15340063790790737, -0.036655986681580544, 0.10633740230696276, -0.07408003759337589, -0.6577487885951996, -0.3968309685587883, -0.05386146251112223, 0.11923864297568798, -0.24798982311040163, -0.17605297453701496, -0.1626320919021964, 0.25020704977214336, -0.09505385940428823, 0.02721919910982251, 0.0857802766840905, 0.06634928309358656, -0.11436575371772051, -0.19279111735522747, 0.10597908531781286, 0.10456566326320171, -0.10902114538475871, -0.25724892783910036, -0.007103023701347411, -0.22529755998402834, -0.5067165540531278, 0.03445232519879937, 0.07048729714006186, 0.6016882564872503, 0.008905515307560563, -0.1201462633907795, -0.2305915355682373, -0.23153133993037045, -0.11551920953206718, 0.027022470952942967]"
125,125,"[-0.12278435425832868, 0.2697557125939056, 0.24138995353132486, -0.2892893850803375, 0.035903478506952524, 0.3999487869441509, -0.2192275021225214, -0.20530959498137236, 0.22444191109389067, 0.0426868787035346, -0.061912414617836475, 0.04679646762087941, 0.27207247726619244, -0.08215249329805374, 0.11649099682836095, -0.21384157706052065, 0.08626430854201317, 0.016421871609054506, 0.2089683113154024, -0.2162585846381262, -0.4288499429821968, -0.31109144166111946, -0.1390029579633847, 0.0690863449126482, -0.15700963977724314, 0.10093767289072275, -0.23001197446137667, 0.13169655413366854, 0.21177973318845034, -0.020538793061859906, -0.13966629741480574, 0.1659306320361793, 0.07484206091612577, -0.11839214153587818, 0.21998154860921204, -0.00034829333890229464, -0.05216385144740343, -0.2947328519076109, 0.05323008888808545, -0.13949501980096102, -0.25331985764205456, -0.05017554294317961, 0.12995699234306812, 0.6089837662875652, -0.12266953173093498, -0.24132833443582058, -0.17598220892250538, -0.1830976800993085, 0.13679833681089804, -0.11920154746621847]"
126,126,"[-0.18116652127355337, 0.06461430620402098, 0.007512481388403103, -0.3260634057223797, 0.050470334477722645, 0.47686054464429617, 0.09953775512985885, -0.1513179074972868, 0.18640251830220222, 0.043839004618348554, 0.02574701397679746, -0.021632944350130856, 0.34223321080207825, -0.11813619162421674, -0.01847720704972744, -0.16642458364367485, 0.1094233759213239, -0.05050584429409355, 0.12206074083223939, -0.06329254782758653, -0.5679356027394533, -0.34155341051518917, -0.11728317779488862, 0.13503094762563705, -0.1466057039797306, -0.150011932477355, -0.2076789028942585, 0.2574016656726599, -0.01037709484808147, 0.0180758407805115, -0.0008699251338839531, 0.0926537646446377, -0.14693487458862364, -0.21457344759255648, 0.10541445761919022, -0.08388210961129516, -0.08625010447576642, -0.22702995594590902, -0.03421572409570217, -0.07058996835257858, -0.3266001222655177, -0.08353607775643468, 0.11957289418205619, 0.5872041415423155, -0.008082123473286629, -0.23070538695901632, -0.3073615450412035, -0.24771025869995356, -0.001752853742800653, 0.022849289554869756]"
127,127,"[-0.31935613602399826, 0.1530975941568613, 0.2030020784586668, -0.43381235003471375, 0.1771306865848601, 0.4266391647979617, -0.0322782852454111, -0.05615910002961755, 0.29842445394024253, -0.08400297001935542, 0.023909115698188543, -0.08229052252136171, 0.27785088401287794, -0.19040802400559187, -0.21921242051757872, -0.14622247824445367, -0.02851679176092148, -0.07862910302355886, 0.18447808572091162, -0.0935983071103692, -0.6573056951165199, -0.3338509853929281, 0.008418552577495575, 0.22491894010454416, -0.27730818651616573, -0.1831193771213293, -0.2806838573887944, 0.2891409881412983, -0.055232308455742896, 0.028021269710734487, 0.013951390283182263, 0.08680972515139729, -0.14164596633054316, -0.17753763543441892, 0.07506386702880263, -0.0647711887722835, 0.050940035842359066, -0.2813584990799427, 0.029533149441704154, -0.07095579360611737, -0.36187282763421535, -0.025530223501846194, 0.0853365883231163, 0.6172531973570585, 0.006102966144680977, -0.14896691590547562, -0.18388124741613865, -0.26447565597482026, 0.028775368526112288, 0.029330747667700052]"
128,128,"[-0.12307407381013036, 0.26389563287375495, 0.2513107471168041, -0.28594253212213516, 0.04661186900921166, 0.39347787760198116, -0.1954322081292048, -0.19114128523506224, 0.21045198431238532, 0.03581038932316005, -0.06212499545654282, 0.0368157762568444, 0.26740409806370735, -0.0785191492177546, 0.11659980099648237, -0.2164754713885486, 0.0874922601506114, 0.013543204637244344, 0.2048262841126416, -0.21189514664001763, -0.40502568893134594, -0.32776458747684956, -0.13965022086631507, 0.0758521119132638, -0.16600039042532444, 0.08417559787631035, -0.23201704118400812, 0.14622703404165804, 0.22373318998143077, -0.021838992601260543, -0.13495948890340514, 0.15291141078341752, 0.07149612018838525, -0.11107946373522282, 0.2098337429051753, -0.004436322895344347, -0.061144021805375814, -0.29274669056758285, 0.05555997765623033, -0.12868366815382615, -0.2280344646424055, -0.05517435306683183, 0.1263567367568612, 0.6228810362517834, -0.12877372681396082, -0.25213719718158245, -0.18013676535338163, -0.18357190629467368, 0.14232528011780232, -0.12733326479792595]"
129,129,"[-0.28046415839344263, 0.09444675873965025, 0.12255197390913963, -0.4587644711136818, 0.16591309243813157, 0.3829749673604965, 0.02745328063610941, -0.18559409072622657, 0.21912391390651464, 0.05292505072429776, -0.011606954503804445, -0.04615852748975158, 0.17191928811371326, -0.08327795332297683, -0.24205933790653944, -0.17124856729060411, 0.006463735364377499, -0.1197017952799797, 0.11782896262593567, -0.13480411388445646, -0.7394484058022499, -0.4298516735434532, -0.11353212059475482, 0.09160919208079576, -0.17787607479840517, -0.25295909121632576, -0.354573056101799, 0.21414457843638957, -0.1349900111090392, 0.07401895927614532, 0.10501344874501228, 0.08050954295322299, -0.13385439570993185, -0.13039006665349007, 0.22653172304853797, 0.1494159414432943, 0.016499091871082783, -0.3819801574572921, 0.03130329237319529, -0.09315850539132953, -0.3704560101032257, -0.052864802069962025, 0.08676714915782213, 0.6635476462543011, -0.09358771075494587, -0.11328546144068241, -0.3163646813482046, -0.2276456169784069, -0.10135098290629685, 0.03182853013277054]"
130,130,"[-0.15922577772289515, 0.06180781219154596, -0.02021975116804242, -0.29824910685420036, 0.047287540044635534, 0.45690568536520004, 0.09124992310535163, -0.15561736933887005, 0.17582561634480953, 0.03657630138332024, 0.03201171196997166, -0.02081936039030552, 0.3223840929567814, -0.10556033591274172, -0.017094603972509503, -0.15141417179256678, 0.12104511819779873, -0.04925369843840599, 0.12689048517495394, -0.061450072564184666, -0.5421459376811981, -0.31242427229881287, -0.12971546943299472, 0.11520827282220125, -0.12595106475055218, -0.12892473302781582, -0.18381116446107626, 0.2418381553143263, -0.008648331393487751, 0.011676667025312781, 0.0013081267243251204, 0.08599951094947755, -0.14792768098413944, -0.2006134670227766, 0.10104901262093335, -0.061548424302600324, -0.07342966925352812, -0.19792190846055746, -0.04280422005103901, -0.07055605750065297, -0.3264499753713608, -0.07587976311333477, 0.11708010639995337, 0.551040843129158, -0.021220671536866575, -0.20620091073215008, -0.28929079696536064, -0.22590310452505946, -0.000501875823829323, 0.013949473388493061]"
131,131,"[-0.1711013177409768, 0.0673830141313374, 0.00526401586830616, -0.30226651206612587, 0.0583413396961987, 0.45400247164070606, 0.07586173340678215, -0.14461750583723187, 0.17028152663260698, 0.04751320349168964, 0.020915493369102478, -0.019589540781453252, 0.3252543658018112, -0.10254754219204187, -0.011087032034993172, -0.16577833890914917, 0.11313502676784992, -0.05209538619965315, 0.11955510405095993, -0.05618332538870163, -0.5281421281397343, -0.31490930169820786, -0.11133734881877899, 0.12360639404505491, -0.130494499579072, -0.13367103785276413, -0.19561320263892412, 0.2512424439191818, 0.0027981692692264915, 0.018119474028935656, -0.017662471160292625, 0.08617542637512088, -0.132975815795362, -0.1965834368020296, 0.09578498033806682, -0.09228885150514543, -0.08049721363931894, -0.19984458852559328, -0.03656668809708208, -0.0639009466394782, -0.3111932836472988, -0.0799003487918526, 0.12111049937084317, 0.5618574880063534, -0.015728468948509544, -0.2187008298933506, -0.29182344675064087, -0.2302779071033001, -0.0058419432025402784, 0.00483876746147871]"
132,132,"[-0.17202648054808378, 0.08706169360084459, 0.05884985625743866, -0.3259287290275097, 0.09542957553640008, 0.4003103426657617, 0.0717973307473585, -0.15255198162049055, 0.1300563309341669, 0.03440468665212393, -0.011035371571779251, 0.0047990253660827875, 0.2976275135297328, -0.07416607532650232, -0.007671453058719635, -0.16842562798410654, 0.1126021477393806, -0.03356953687034547, 0.09186207689344883, -0.0658766150008887, -0.5212338734418154, -0.36822686344385147, -0.14255246554967016, 0.11325358739122748, -0.1260812176624313, -0.14205141179263592, -0.22342949360609055, 0.2905812496319413, 0.07312730967532843, 0.002684368286281824, -0.026719534071162343, 0.08142333757132292, -0.14007628615945578, -0.2028988841921091, 0.06574360307422467, -0.08302391227334738, -0.14278238732367754, -0.20469896774739027, -0.029531793945352547, -0.021791861829115078, -0.2943607084453106, -0.10714502236805856, 0.13552839774638414, 0.6319111585617065, 0.0012031090445816517, -0.24787448532879353, -0.2764232065528631, -0.2285268884152174, -0.006369334878399968, 0.05311861727386713]"
133,133,"[-0.1280645695514977, 0.2626150632277131, 0.25382952205836773, -0.2841111645102501, 0.03536892356351018, 0.40159912779927254, -0.20275640481850132, -0.20119108725339174, 0.21334681985899806, 0.03658025205368176, -0.060031895991414785, 0.047096190974116325, 0.26118766283616424, -0.09175671241246164, 0.11690309992991388, -0.22045190539211035, 0.07761174836196005, 0.01113314344547689, 0.2102710164617747, -0.22512728348374367, -0.4087560772895813, -0.3206952754408121, -0.12708527315407991, 0.06882727798074484, -0.1714389193803072, 0.08734793961048126, -0.23607955500483513, 0.13080365234054625, 0.21671134838834405, -0.01589378679636866, -0.14174975550849922, 0.1555424251127988, 0.0650668740272522, -0.10392351541668177, 0.20656647044233978, -0.0009404996526427567, -0.047003709245473146, -0.29773935629054904, 0.055689602479105815, -0.12936734920367599, -0.2244597040116787, -0.05251669557765126, 0.12438009027391672, 0.6098804548382759, -0.1314545749919489, -0.24952037073671818, -0.17045131511986256, -0.18560407217592, 0.1485864776186645, -0.1246050433255732]"
134,134,"[-0.15333934966474771, 0.06451187841594219, 0.007358229719102383, -0.2919744048267603, 0.046939614694565535, 0.4449007660150528, 0.07929475282435305, -0.152981209452264, 0.16194768040440977, 0.033067416050471365, 0.020237785880453885, -0.007495819358155131, 0.31160547491163015, -0.09293797938153148, -0.01647275499999523, -0.1522027775645256, 0.11368576949462295, -0.050716424419078976, 0.12503024528268725, -0.06580120511353016, -0.5253268387168646, -0.3107887767255306, -0.1158741433173418, 0.1104072192683816, -0.1255807289853692, -0.13568484969437122, -0.17883948935195804, 0.2456157673150301, -0.006870763492770493, 0.012000878108665347, -0.016727648209780455, 0.07305410341359675, -0.14605995919555426, -0.19660647213459015, 0.08381490793544799, -0.06919653771910816, -0.0707871860358864, -0.19307235442101955, -0.033796108356909826, -0.0645143241272308, -0.30605235137045383, -0.07547015184536576, 0.11218569241464138, 0.5376376733183861, -0.023523840587586164, -0.20442601293325424, -0.2979742866009474, -0.2243075603619218, -0.005798941012471914, 0.02046419633552432]"
135,135,"[-0.14077354408800602, 0.06202844111248851, 0.0019048117101192474, -0.2821355201303959, 0.028317142743617296, 0.4299182528629899, 0.08557123923674226, -0.15936087910085917, 0.15419632388511673, 0.021832081547472626, 0.025534531101584435, -0.019946461223298684, 0.309372553601861, -0.10406208151107421, -0.010693087766412646, -0.13773810677230358, 0.10614617262035608, -0.05247501144185662, 0.1340107899159193, -0.06113884621299803, -0.5224582105875015, -0.29811701737344265, -0.14100853446871042, 0.11177302384749055, -0.12261613458395004, -0.1163766635581851, -0.18740069773048162, 0.23200135491788387, -0.008992548217065632, 0.009624977479688823, -0.009400625713169575, 0.08082071726676077, -0.1448116060346365, -0.19540090579539537, 0.09002339746803045, -0.062215645564720035, -0.06440413184463978, -0.1959582446143031, -0.046237940376158804, -0.05315012112259865, -0.3095905063673854, -0.07511715934379026, 0.1070945612154901, 0.5264961831271648, -0.029359987820498645, -0.19945269264280796, -0.2850681012496352, -0.2162042106501758, 0.0018280503572896123, 0.020497489254921675]"
136,136,"[-0.31853292137384415, 0.20931014930829406, 0.2705112872645259, -0.477031622081995, 0.11863321298733354, 0.43769115628674626, -0.03243127767927945, -0.12994137685745955, 0.3291280260309577, 0.10470414813607931, 0.05174082797020674, 0.01125459372997284, 0.22798767313361168, -0.22898102272301912, -0.23914038389921188, -0.18910924531519413, 0.06363860704004765, 0.10838556103408337, 0.03466599993407726, -0.11035673393053003, -0.6687246896326542, -0.46531403064727783, -0.12132398691028357, 0.01165237557142973, -0.30347010493278503, -0.12631592783145607, -0.1542138960212469, 0.22571512823924422, -0.04669782391283661, -0.03444032242987305, 0.0510619031265378, 0.2286024068016559, -0.05174987576901913, -0.24420478008687496, -0.09368960105348378, 0.07795806555077434, -0.18466078210622072, -0.3012195061892271, -0.03385617537423968, -0.14382194075733423, -0.38113779202103615, 0.03500708378851414, 0.131106979213655, 0.618498906493187, 0.08246187993790954, -0.25105445086956024, -0.09952674619853497, -0.1922313617542386, -0.060900602489709854, 0.0633695749565959]"
137,137,"[-0.12796648172661662, 0.2728694573743269, 0.26178682036697865, -0.30317447707057, 0.05856339447200298, 0.4102002587169409, -0.2053644280968001, -0.20235178712755442, 0.2190850602928549, 0.037050263956189156, -0.07156292255967855, 0.05182253057137132, 0.28218934033066034, -0.058628667145967484, 0.10425262013450265, -0.22518108505755663, 0.09423040691763163, 0.007159044034779072, 0.21628219378180802, -0.22756881499662995, -0.43427038937807083, -0.34172480180859566, -0.13999634434003383, 0.07215395476669073, -0.16784813161939383, 0.07682840898633003, -0.24634144641458988, 0.16762085841037333, 0.20760466530919075, -0.020187167188851163, -0.15289538726210594, 0.156867646262981, 0.06005215086042881, -0.12450672872364521, 0.22377920511644334, -0.0112937455996871, -0.061164360493421555, -0.31279065273702145, 0.05944433785043657, -0.13408396765589714, -0.25105729326605797, -0.06312653794884682, 0.1314571974799037, 0.6372284591197968, -0.11530711292289197, -0.24668175540864468, -0.20199365355074406, -0.18707939330488443, 0.1305426638573408, -0.11437490209937096]"
138,138,"[-0.2337441211566329, 0.1419842205941677, 0.16373091051355004, -0.39739110693335533, -0.07273260736837983, 0.3799720788374543, -0.0943817999213934, -0.2584707150235772, 0.3042175928130746, 0.11648794898064807, -0.12418324314057827, 0.026406119344756007, 0.1484512216411531, -0.22900559520348907, -0.13270788500085473, -0.2386327814310789, 0.029189683380536735, -0.09235384594649076, 0.14738619734998792, -0.054431754630059004, -0.6895223520696163, -0.4055907838046551, -0.08645405853167176, 0.1263248675968498, -0.19878237415105104, -0.009361838921904564, -0.2112586535513401, 0.1957159440498799, 0.05771785427350551, 0.016666955256368965, -0.06205869861878455, 0.22161869704723358, -0.10814492939971387, -0.12716940511018038, 0.0860334592871368, -0.05960162461269647, -0.08601740514859557, -0.2550741136074066, 0.05353059573099017, -0.040042643435299397, -0.36345445085316896, -0.011913975671632215, 0.05919479520525783, 0.67855454236269, -0.13426844449713826, -0.181592489592731, -0.2606122193392366, -0.3223026995547116, -0.08016046206466854, 0.1854412518441677]"
139,139,"[-0.11842129426077008, 0.25419299118220806, 0.23362861829809844, -0.2710882816463709, 0.038851071149110794, 0.4037174843251705, -0.19846808724105358, -0.1953593996586278, 0.23148042056709528, 0.05352270544972271, -0.049311050213873386, 0.03898380004102364, 0.2817226480692625, -0.08981883176602423, 0.12616905034519732, -0.21988235041499138, 0.06777206156402826, -0.0002212697872892022, 0.21950864745303988, -0.2084824638441205, -0.3985676672309637, -0.28607556596398354, -0.12494378257542849, 0.06023435783572495, -0.16110443975776434, 0.10251134261488914, -0.23477752227336168, 0.10611303360201418, 0.21419164398685098, -0.022446125629357994, -0.13746132038068026, 0.16710880200844258, 0.09076940116938204, -0.09909647982567549, 0.21591382854967378, -0.025974498159484938, -0.048757216427475214, -0.29116115998476744, 0.06020242866361514, -0.1494630821980536, -0.21614650543779135, -0.04452029173262417, 0.1276622461155057, 0.5885544829070568, -0.11575518758036196, -0.23579538892954588, -0.1628499897196889, -0.19484668970108032, 0.14461743459105492, -0.15307312435470521]"
140,140,"[-0.13649147329851985, 0.27747167088091373, 0.25089934607967734, -0.2964291051030159, 0.04998566582798958, 0.4105527903884649, -0.20355003618169576, -0.2131160432472825, 0.20619197888299823, 0.04648816562257707, -0.07161044934764504, 0.05374708540330175, 0.2719413246959448, -0.07473935792222619, 0.12820095766801387, -0.21633523469790816, 0.07445760956034064, -0.017548189556691796, 0.21334701392333955, -0.20786727173253894, -0.42268755100667477, -0.3350545112043619, -0.15314447041600943, 0.07534027565270662, -0.16172281093895435, 0.10429725237190723, -0.25410311948508024, 0.13478923798538744, 0.24873776361346245, -0.02383848823956214, -0.1532069044187665, 0.16853343043476343, 0.07811857899650931, -0.10362608544528484, 0.22306738758925349, -0.02109489729627967, -0.06960679218173027, -0.28743673488497734, 0.05255573778413236, -0.12340508546913043, -0.23278492130339146, -0.07291133236140013, 0.14462799113243818, 0.6468140110373497, -0.1260238524992019, -0.2528948951512575, -0.18150187656283379, -0.1973269721493125, 0.14064166258322075, -0.11775458697229624]"
141,141,"[-0.11837092833593488, 0.25603981054155156, 0.2525353441014886, -0.27818603813648224, 0.04680798668414354, 0.3816013615578413, -0.20228838484035805, -0.19565170002169907, 0.2081692277570255, 0.04316515557002276, -0.06797163467854261, 0.03717917145695537, 0.25159643217921257, -0.08185275178402662, 0.11644640797749162, -0.22266872227191925, 0.06836767902132124, 0.004092589486390352, 0.20225260686129332, -0.2092166857328266, -0.3896523378789425, -0.31850519590079784, -0.13207042176509276, 0.07112052571028471, -0.16421030182391405, 0.09848945774137974, -0.23580149374902248, 0.1289285619277507, 0.23099241266027093, -0.021840689063537866, -0.1391324799042195, 0.16115092323161662, 0.08126672403886914, -0.09624081291258335, 0.20844622564618476, -0.010026902426034212, -0.05711824353784323, -0.29236029647290707, 0.05942442687228322, -0.11863283067941666, -0.2141945520415902, -0.058545328211039305, 0.12993553094565868, 0.6136025078594685, -0.12425301526673138, -0.23795160092413425, -0.16502067539840937, -0.18435444682836533, 0.14189229474868625, -0.1262942561879754]"
142,142,"[-0.1559037584811449, 0.0579214608296752, -0.00882703042589128, -0.29385767690837383, 0.03447205130942166, 0.4569026045501232, 0.09384203550871462, -0.1644236850552261, 0.17339256964623928, 0.056256294483318925, 0.028009936679154634, -0.013873881340259686, 0.3210376566275954, -0.11985667527187616, -0.012570640072226524, -0.15226498059928417, 0.08451476227492094, -0.07400224194861948, 0.14400964276865125, -0.04559359699487686, -0.5240443684160709, -0.27696515806019306, -0.12236274313181639, 0.10639119643019512, -0.13268243614584208, -0.11367624718695879, -0.20456302165985107, 0.2079186663031578, 0.0030248922994360328, 0.01407858930178918, -0.0010120509832631797, 0.09836059575900435, -0.11458304151892662, -0.16767081059515476, 0.0952617041693884, -0.09241460263729095, -0.07639727625064552, -0.19329741783440113, -0.02803230087738484, -0.08274056343361735, -0.2936110710725188, -0.06438410247210413, 0.12220201967284083, 0.5330715719610453, -0.017097269941587, -0.19157432205975056, -0.282340151257813, -0.2365457823034376, -0.0032140793919097632, 0.002623925916850567]"
143,143,"[-0.15212167333811522, 0.056609387043863535, -0.001259477372514084, -0.3041820749640465, 0.038719472009688616, 0.4771071560680866, 0.0972342165914597, -0.15828285133466125, 0.17866684077307582, 0.03734608078957535, 0.026424159295856953, -0.012136734731029719, 0.3375987662002444, -0.11771892377873883, -0.015092372428625822, -0.16245422791689634, 0.11118536349385977, -0.0529166990891099, 0.13512127520516515, -0.06364008947275579, -0.5484897457063198, -0.3172118980437517, -0.12398809078149498, 0.11955981096252799, -0.13647602684795856, -0.12841691263020039, -0.1919804159551859, 0.25009639374911785, -0.017947872285731137, 0.02082889573648572, -0.013662810437381268, 0.08509193221107125, -0.14203691110014915, -0.20769725646823645, 0.09801594313466921, -0.08741287607699633, -0.0787743330001831, -0.20268561504781246, -0.03942549950443208, -0.07337306073168293, -0.3278680816292763, -0.0817606114433147, 0.11057883314788342, 0.5554964244365692, -0.017350242473185062, -0.21503820084035397, -0.3029835391789675, -0.2314257612451911, -0.00024798873346298933, 0.009020579513162374]"
144,144,"[-0.1637831199914217, 0.06655977200716734, 0.00746514555066824, -0.31631170213222504, 0.039280406665056944, 0.45755830220878124, 0.0813957386999391, -0.1607085675932467, 0.17459634318947792, 0.03142648481298238, 0.01505697425454855, -0.009343680692836642, 0.3264165995642543, -0.10998701583594084, -0.015060872305184603, -0.16232420597225428, 0.11944279540330172, -0.049677902832627296, 0.13612741907127202, -0.07388257142156363, -0.5493420176208019, -0.3295072093605995, -0.12049469712655991, 0.12273253500461578, -0.13527594041079283, -0.13010335434228182, -0.19383492972701788, 0.2523906137794256, -0.0033362085232511163, 0.018939949572086334, -0.01621535629965365, 0.08689062343910336, -0.1476502176374197, -0.20131800696253777, 0.09300039964728057, -0.07642834214493632, -0.07851853594183922, -0.20490413904190063, -0.031585241260472685, -0.06903059035539627, -0.3240199889987707, -0.0797396688722074, 0.11664549447596073, 0.5661877505481243, -0.02181609341641888, -0.21875709109008312, -0.30239843763411045, -0.23488256661221385, -0.00029920096858404577, 0.013757823966443539]"
145,145,"[-0.14730821317061782, 0.2900327043607831, 0.2563040745444596, -0.30966477282345295, 0.04627795657142997, 0.4027383569628, -0.20556015917100012, -0.20845144661143422, 0.23040261073037982, 0.0404165877844207, -0.07484329142607749, 0.03535089746583253, 0.2659892695955932, -0.08538888418115675, 0.10507712396793067, -0.21389780566096306, 0.0824366882443428, -0.002452488522976637, 0.2117642528610304, -0.22057725093327463, -0.4501240160316229, -0.35014073736965656, -0.1408531330525875, 0.07900266256183386, -0.16825318289920688, 0.08920662477612495, -0.24865964334458113, 0.13613424845971167, 0.21045571053400636, -0.013686701655387878, -0.1517168660648167, 0.16950089624151587, 0.06890848418697715, -0.11053808312863111, 0.229320594080491, 0.018944465438835323, -0.05014198739081621, -0.3130810814909637, 0.05154919484630227, -0.13584663212532178, -0.2532180165871978, -0.04878534935414791, 0.13254983769729733, 0.6445709373801947, -0.12928446242585778, -0.249291162006557, -0.1923344125971198, -0.19157157000154257, 0.13509574766794685, -0.1172214166726917]"
146,146,"[-0.16948132496327162, 0.05280652083456516, -0.008275283966213465, -0.295223088003695, 0.04866121103987098, 0.4685923270881176, 0.09447655687108636, -0.1622039016801864, 0.18516066623851657, 0.05311974370852113, 0.045735110994428396, -0.023485866840928793, 0.32813062937930226, -0.1282477640779689, -0.028075275477021933, -0.1534685492515564, 0.09243031474761665, -0.06400513591506751, 0.13984933262690902, -0.03960723336786032, -0.5491463616490364, -0.294471250846982, -0.1166905362624675, 0.11752621410414577, -0.12433547526597977, -0.12080509401857853, -0.18533586245030165, 0.21929564513266087, -0.01200095599051565, 0.02140593808144331, 0.015562878688797355, 0.09415394021198153, -0.1355315614491701, -0.18827345594763756, 0.09239537001121789, -0.0835804098751396, -0.08069419779349118, -0.1971250707283616, -0.043371448991820216, -0.08402588998433203, -0.3167884247377515, -0.06276779668405652, 0.12307388870976865, 0.5436681658029556, -0.01578713138587773, -0.19365503638982773, -0.28740047477185726, -0.24217547569423914, -0.0034406487829983234, 0.001460045576095581]"
147,147,"[-0.19991753157228231, 0.32549161929637194, 0.41286101983860135, -0.4184834063053131, -0.02865854650735855, 0.30132579896599054, -0.39976248191669583, -0.25438234535977244, 0.29803390498273075, 0.07439554913435131, -0.17567340470850468, 0.07817671867087483, 0.07278303988277912, -0.16380136308725923, -0.08995978999882936, -0.28811344038695097, 0.019496143329888582, -0.06267348397523165, 0.25941256107762456, -0.21587659476790577, -0.6027633883059025, -0.4411384332925081, -0.048879411071538925, 0.17014661617577076, -0.24321001395583153, 0.14069760497659445, -0.22583530098199844, 0.13711389363743365, 0.21955041587352753, 0.04086225759238005, -0.046756839379668236, 0.15599170641507953, 0.010441854130476713, -0.06763491313904524, 0.1728110434487462, 0.03290142025798559, -0.04149064375087619, -0.3292692983523011, 0.15971827553585172, -0.13149997172877192, -0.3581898743286729, 0.04068693332374096, 0.04029034357517958, 0.6848952956497669, -0.24346047441940755, -0.13211436942219734, -0.12107213400304317, -0.17797933565452695, 0.06954188295640051, -0.0026460387744009495]"
148,148,"[-0.2957832384854555, 0.1341719152405858, 0.1066800276748836, -0.4390950668603182, 0.060589848551899195, 0.413695614784956, -0.0004220560658723116, -0.23624605312943459, 0.320083393715322, 0.10110450396314263, -0.05966296698898077, -0.048328602220863104, 0.18156777508556843, -0.13435733132064342, -0.15402207500301301, -0.16839101538062096, 0.017410912550985813, -0.05920499423518777, 0.09215139178559184, -0.159974372247234, -0.7250298708677292, -0.43111690506339073, -0.1508676763623953, 0.017021099105477333, -0.17304082214832306, -0.173695495352149, -0.3705188538879156, 0.1883454415947199, -0.09879560640547425, 0.011158398381667212, -0.0678053698502481, 0.20717426063492894, -0.08907666150480509, -0.10161720775067806, 0.26726934406906366, 0.14653894305229187, 0.01570471189916134, -0.3994943853467703, 0.017799077089875937, -0.06676801573485136, -0.35700079053640366, -0.09827976394444704, 0.08259515929967165, 0.7060972563922405, -0.10981623642146587, -0.1859268038533628, -0.34123751893639565, -0.3301231116056442, -0.12394268903881311, 0.09717352874577045]"
149,149,"[-0.22788158804178238, 0.05342349334387109, 0.013144210912287235, -0.38492841459810734, 0.08042257139459252, 0.5636294651776552, 0.11717398185282946, -0.185656460467726, 0.21847923193126917, 0.0749726202338934, 0.03564090561121702, -0.027307309210300446, 0.40880814101547003, -0.16103473654948175, -0.030828801449388266, -0.19984534848481417, 0.10809076577425003, -0.07775521941948682, 0.16237869206815958, -0.04991784878075123, -0.666780237108469, -0.3864957373589277, -0.1252562574809417, 0.160667578689754, -0.17395519744604826, -0.16031097527593374, -0.2531697116792202, 0.27872733399271965, 0.00932158692739904, 0.009608229040168226, 0.014277503825724125, 0.11323981499299407, -0.16563950199633837, -0.22897541150450706, 0.09754604523186572, -0.13696743128821254, -0.12726433807983994, -0.2502517672255635, -0.02837804378941655, -0.07873402815312147, -0.3726939130574465, -0.09196796407923102, 0.16037486656568944, 0.6982942745089531, -0.0046043997863307595, -0.2573618497699499, -0.3430999042466283, -0.3146876525133848, -0.012867538956925273, 0.020333340391516685]"
150,150,"[-0.25741811841726303, 0.4561348306015134, 0.3986142445355654, -0.4367749076336622, 0.09443573327735066, 0.3588200812228024, -0.2949505094438791, -0.15482793608680367, 0.38623797276522964, 0.013577118050307035, -0.06466415198519826, 0.051258869003504515, 0.20809147413820028, -0.03272477089194581, -0.06854644790291786, -0.1784266997128725, 0.14241612050682306, 0.03283581440337002, 0.19076828303514048, -0.25017712905537337, -0.5329600945115089, -0.40466425381600857, -0.06214633712079376, 0.06986046582460403, -0.2972438484430313, 0.04268055688589811, -0.20507230865769088, 0.14489940949715674, 0.11444699391722679, -0.023356523364782333, -0.0552535355091095, 0.15220604371279478, 0.09681882709264755, -0.11922909785062075, 0.22020092769525945, 0.19454758800566196, -0.06828385125845671, -0.3518453864380717, 0.08698710141470656, -0.2919278792105615, -0.4323560409247875, 0.05927149998024106, 0.07737991260364652, 0.657707691192627, -0.11201639112550765, -0.17641344107687473, -0.1213741134852171, -0.1738094799220562, 0.04810287803411484, -0.12096415972337127]"
