,index,value
10,10,"[-0.1402186652024587, 0.13131886472304663, 0.13615101327498755, -0.2446222503980001, 0.11155835042397182, 0.1432518238822619, -0.02676307037472725, -0.050373814379175506, 0.06522715712587039, -0.03821244773765405, -0.09501063078641891, 0.0033940840512514114, 0.11505027115345001, -0.0019050034849594037, -0.048216428607702255, -0.09864612544576327, 0.07211497612297535, -0.025085026087860268, 0.01937828764008979, -0.05784246946374575, -0.32321856419245404, -0.31037555634975433, -0.06418168544769287, 0.09901846448580424, -0.09081057210763295, -0.14648061245679855, -0.17279352247714996, 0.25719262659549713, 0.07636663566033046, 0.014979500013093153, -0.057841405272483826, 0.03841498059531053, -0.0959084431330363, -0.14492702980836233, 0.02271166630089283, -0.016524552833288908, -0.10299813995758693, -0.14304852485656738, 0.0014079331109921138, 0.04678856829802195, -0.17009415725866953, -0.06404819960395496, 0.0908401608467102, 0.45226282874743146, 0.01120642937409381, -0.20069195330142975, -0.1852937489748001, -0.10856117059787114, -0.001155444896236683, 0.09832897782325745]"
11,11,"[-0.16423681875069937, 0.16198216378688812, 0.1586209163069725, -0.3030662437280019, 0.15239332616329193, 0.20293815930684408, -0.03317439183592796, -0.06530102156102657, 0.07707174619038899, -0.03376201602319876, -0.09789388130108516, -0.007746949791908264, 0.14623929808537164, 0.004441677127033472, -0.06705741956830025, -0.11246836309631665, 0.10271195322275162, -0.022940243283907574, 0.033342171693220735, -0.07635719577471416, -0.41255579392115277, -0.3818096121152242, -0.09122329329450925, 0.11704357465108235, -0.11302696665128072, -0.1839116414388021, -0.19601507484912872, 0.3105659435192744, 0.07903966555992763, 0.01512501606096824, -0.04097674911220869, 0.03756293095648289, -0.11858918517827988, -0.1818894942601522, 0.03886829564968745, 0.010115699532131353, -0.11538597693045934, -0.18257554868857065, 0.004369090233619015, 0.04500611995657285, -0.22625820835431418, -0.06390893086791039, 0.10872474312782288, 0.553453286488851, 0.004398022700722019, -0.24902467926343283, -0.2270050346851349, -0.11929472535848618, 0.003373312841479977, 0.1073603481054306]"
12,12,"[-0.1465396136045456, 0.1281828979651133, 0.15614969531695047, -0.25403418640295666, 0.08882175510128339, 0.20458159844080606, -0.04870959743857384, -0.07327077413598697, 0.07307242726286252, -0.014749907267590364, -0.10031938552856445, 0.026281699538230896, 0.07744882255792618, -0.04612046728531519, -0.059501271694898605, -0.09931397686402003, 0.07897617295384407, 0.0036556186775366464, -0.0007817807296911875, -0.07541996240615845, -0.3389178266127904, -0.32010090351104736, -0.0657266117632389, 0.08180765062570572, -0.09800443798303604, -0.12794107447067896, -0.12761550396680832, 0.26437339186668396, 0.09103029842178027, 0.02704358659684658, -0.04217947709063689, 0.026295267278328538, -0.12177494416634242, -0.14179626603921255, -0.027585769693056744, 0.011631539712349573, -0.09963561842838924, -0.12507585187753043, 0.002445455640554428, 0.043674957007169724, -0.20044620831807455, -0.06653676927089691, 0.04977214150130749, 0.48060446977615356, -0.004830812695824231, -0.2024031529823939, -0.14861878007650375, -0.08227606986959775, -0.01686877974619468, 0.09292322645584743]"
13,13,"[-0.18747041126092276, 0.16908632218837738, 0.12938460459311804, -0.3624813159306844, 0.12176204721132915, 0.13506103648493686, -0.012555796653032303, -0.06646706877897184, 0.03650824911892414, -0.08576173956195514, -0.14686045547326407, 0.012773628657062849, 0.10695375874638557, 0.03908062602082888, -0.07746795316537221, -0.1302416721979777, 0.11574515451987584, -0.045541698733965554, 0.015493606644061705, -0.08335293084383011, -0.46973374485969543, -0.43174989024798077, -0.09251690904299419, 0.15425380071004233, -0.12062699596087138, -0.23802038530508676, -0.24061251183350882, 0.3345979352792104, 0.07245776678125064, 0.028824898103872936, -0.047053318470716476, 0.029054169077426195, -0.16346139212449393, -0.18340511620044708, 0.052417485819508634, 0.030318031184530508, -0.13201849659283957, -0.19399244586626688, 0.033598944544792175, 0.08395617362111807, -0.2622010012467702, -0.08410341416796048, 0.09271266808112462, 0.5968713363011678, -0.03047830145806074, -0.2545204659303029, -0.26539670924345654, -0.13619021077950796, -0.019204833234349888, 0.1954486146569252]"
14,14,"[-0.16346567372481027, 0.1462546040614446, 0.1461140736937523, -0.2803556074698766, 0.12465747694174449, 0.17992855360110602, -0.05516919493675232, -0.06404764081041019, 0.06437416871388753, -0.018638045837481815, -0.10825019578138988, 0.005716722400393337, 0.09320706749955814, 0.008476365357637405, -0.03341091905410091, -0.10069725786646207, 0.09248483677705129, -0.0075291072425898165, 0.00021248124539852142, -0.07915455972154935, -0.348208283384641, -0.3545422355333964, -0.07619825998942058, 0.10750311364730199, -0.07912211616834004, -0.1461409479379654, -0.17784595986207327, 0.2788471182187398, 0.11537474145491917, 0.0170019354360799, -0.05182015523314476, 0.038755823858082294, -0.10536015033721924, -0.14504748831192651, 0.04535409683982531, 0.004079679648081462, -0.12029204765955608, -0.1449177364508311, -0.00407402403652668, 0.04744794964790344, -0.19830630719661713, -0.08088576296965282, 0.08601909875869751, 0.5121144652366638, -0.0012760494525233905, -0.24169556299845377, -0.1810170734922091, -0.11102332671483357, -0.012525535809497038, 0.10088073462247849]"
15,15,"[-0.1604147826631864, 0.15102431178092957, 0.11031271517276764, -0.2994205007950465, 0.11489079147577286, 0.11640563203642766, -0.0065215642874439555, -0.061410944908857346, 0.025089504197239876, -0.0663429523507754, -0.1412081941962242, 0.004118702374398708, 0.08778978139162064, 0.03861074987798929, -0.05622841293613116, -0.10004764795303345, 0.10594937702020009, -0.04665348678827286, 0.008165029808878899, -0.05872375890612602, -0.39058340589205426, -0.3828843832015991, -0.08742350712418556, 0.13489720225334167, -0.08706605558594067, -0.19777639706929526, -0.21662367383639017, 0.2939457247654597, 0.08330082148313522, 0.015612094275032481, -0.05687896783153216, 0.01897610902475814, -0.12690461923678717, -0.14446129649877548, 0.04538159382839998, 0.009506868198513985, -0.12818578630685806, -0.15936526904503504, 0.019637629001711805, 0.08848994225263596, -0.21347864468892416, -0.07632647454738617, 0.08598288521170616, 0.5287814736366272, -0.021006368993160624, -0.238431046406428, -0.2451667239268621, -0.1177401269475619, -0.021605364978313446, 0.16710451493660608]"
16,16,"[-0.15007777015368143, 0.13674247513214746, 0.1417508895198504, -0.2540770471096039, 0.13415279487768808, 0.22341829538345337, -0.04158597687880198, -0.0642507995168368, 0.07613295565048854, -0.020151333262523014, -0.08673044790824254, -0.0015513959030310314, 0.11147995293140411, -0.012292671948671341, -0.0391914090141654, -0.09971581151088078, 0.08616039529442787, -0.014833473910888037, 0.039655960242574416, -0.07376633336146672, -0.35565707087516785, -0.34409378965695697, -0.07882335782051086, 0.10746269424756368, -0.11773638427257538, -0.14772915095090866, -0.16021201262871423, 0.26823199292023975, 0.10462288558483124, -0.0026018813368864357, -0.03550834208726883, 0.028786962541441124, -0.10511213789383571, -0.13037057717641196, 0.03410713995496432, -0.007682441539751987, -0.08818039546410243, -0.16295583297808966, 0.007148364869256814, 0.037221974382797875, -0.16707604378461838, -0.055645354092121124, 0.08303110674023628, 0.4817361334959666, -0.007103345279271404, -0.21445990105470022, -0.15231864154338837, -0.08447447294990222, -0.0013093319721519947, 0.08650078376134236]"
17,17,"[-0.21177364140748978, 0.18112808962663016, 0.31357887883981067, -0.434798260529836, -0.005463351806004842, 0.02340131253004074, -0.24303685931954533, -0.1317854473988215, 0.1336559932678938, -0.015339051683743795, -0.24041715761025748, 0.08400014663736026, -0.1676714631418387, -0.12252114371707042, -0.309957808504502, -0.23310077438751856, -0.025710466007391613, -0.11860992262760799, 0.05306810947755972, -0.049082087663312755, -0.5865898529688517, -0.4500100910663605, 0.029001769920190174, 0.24008402476708093, -0.21409272650877634, -0.11104181222617626, -0.11106926315308858, 0.23656697322924933, 0.057204137866695724, 0.10305276792496443, 0.0957838570078214, 0.03325753783186277, -0.1953971634308497, -0.11022017275293668, -0.041754500940442085, 0.06893765615920226, -0.06686661504985143, -0.16338327527046204, 0.1622882398466269, 0.07598548134167989, -0.3403497288624446, 0.0689724013209343, -0.055330910409490265, 0.5389846762021383, -0.16319684373835722, -0.05420848230520884, -0.06230361262957255, -0.044005157270779215, -0.07466234577198823, 0.3002030551433563]"
18,18,"[-0.16223403811454773, 0.15259097019831339, 0.13887067884206772, -0.2838720728953679, 0.12872767945130667, 0.18175795177618662, -0.05046107371648153, -0.07134526843825977, 0.06774036834637324, -0.0013053398579359055, -0.11753545453151067, 0.01174470316618681, 0.08831690748532613, 0.0030634713669617972, -0.028688210373123486, -0.1214192161957423, 0.08019817744692166, -0.010343380272388458, 0.010505768160025278, -0.08322951570153236, -0.35535956422487897, -0.3609873404105504, -0.1007804125547409, 0.09268056104580562, -0.10043901453415553, -0.14395092676083246, -0.18351469933986664, 0.2715601623058319, 0.09565984706083934, 0.008194343380940458, -0.0769924744963646, 0.046090567484498024, -0.09480598817269008, -0.1329299882054329, 0.04936933207015196, 0.015587427032490572, -0.10690305133660634, -0.15433195978403091, 0.0038200542330741882, 0.05817886193593343, -0.19097785900036493, -0.08638910700877507, 0.08883729577064514, 0.5199524064858755, -0.024564589684208233, -0.23767129083474478, -0.19072184463342032, -0.11617334187030792, -0.0050702103568861885, 0.10896255820989609]"
19,19,"[-0.15837721526622772, 0.14555743088324866, 0.1294268618027369, -0.2793881893157959, 0.11838774879773457, 0.1812322586774826, -0.03843669407069683, -0.07249486198027928, 0.07444164156913757, 0.005728587508201599, -0.12132034450769424, 0.012756665547688803, 0.08911922574043274, 0.018390154466032982, -0.03925058990716934, -0.11397086828947067, 0.08993040397763252, -0.020453675650060177, 0.02328586644337823, -0.08329046765963237, -0.3569759925206502, -0.3493568003177643, -0.08578538770476977, 0.08694891507426898, -0.10146177560091019, -0.16060006121794382, -0.18349696695804596, 0.28048909703890484, 0.06952251742283504, 0.0012819270777981728, -0.08008962993820508, 0.04237202120323976, -0.10386360560854276, -0.11818615595499675, 0.05828737964232763, 0.015484293301900228, -0.09185472875833511, -0.16423234095176062, 0.003909380330393712, 0.05022877765198549, -0.18771418432394663, -0.08291306098302205, 0.08103925983111064, 0.4965566595395406, -0.020784806460142136, -0.2222345918416977, -0.20221447944641113, -0.11167695000767708, -0.019206176007476945, 0.0988757535815239]"
